binding_id,frontend_file,frontend_line,api_call,http_method,url_path,request_type_frontend,response_type_frontend,backend_file,backend_line,handler_function,request_schema_backend,response_schema_backend,types_match,notes,verdict
B-01,ui/src/api/client.ts,51,api.profiles.list,GET,/api/profiles,none,Profile[],backend/routes/profiles.py,144,list_profiles,none,list[ProfileResponse],TRUE,All fields align: ProfileResponse fields match Profile interface,PASS
B-02,ui/src/api/client.ts,53,api.profiles.get,GET,/api/profiles/{id},none,Profile,backend/routes/profiles.py,177,get_profile,none,ProfileResponse,TRUE,Same schema as B-01 single item,PASS
B-03,ui/src/api/client.ts,55,api.profiles.create,POST,/api/profiles,ProfileCreate,Profile,backend/routes/profiles.py,208,create_profile,ProfileCreate,ProfileResponse,TRUE,Frontend ProfileCreate matches backend ProfileCreate; config_overrides optional in FE with ? vs default {} in BE — compatible,PASS
B-04,ui/src/api/client.ts,57,api.profiles.update,PUT,/api/profiles/{id},ProfileUpdate,Profile,backend/routes/profiles.py,248,update_profile,ProfileUpdate,ProfileResponse,TRUE,All optional fields match between FE and BE schemas,PASS
B-05,ui/src/api/client.ts,59,api.profiles.delete,DELETE,/api/profiles/{id},none,void,backend/routes/profiles.py,285,delete_profile,none,204 No Content,TRUE,Frontend expects void; backend returns 204 — compatible,PASS
B-06,ui/src/api/client.ts,61,api.profiles.activate,POST,/api/profiles/{id}/activate,none,Profile,backend/routes/profiles.py,363,activate_profile,none,ProfileResponse,TRUE,No request body; response matches Profile,PASS
B-07,ui/src/api/client.ts,63,api.profiles.pause,POST,/api/profiles/{id}/pause,none,Profile,backend/routes/profiles.py,392,pause_profile,none,ProfileResponse,TRUE,No request body; response matches Profile,PASS
B-08,ui/src/api/client.ts,68,api.models.train,POST,/api/models/{profileId}/train,{model_type: string},TrainingStatus,backend/routes/models.py,717,train_model_endpoint,TrainRequest,TrainingStatus,TRUE,"FE sends {model_type}; BE TrainRequest accepts model_type plus force_full_retrain and years_of_data (both optional with defaults). Response schemas match.",PASS
B-09,ui/src/api/client.ts,73,api.models.retrain,POST,/api/models/{profileId}/retrain,none,TrainingStatus,backend/routes/models.py,832,retrain_model,none,TrainingStatus,TRUE,No request body; response schemas match,PASS
B-10,ui/src/api/client.ts,75,api.models.status,GET,/api/models/{profileId}/status,none,TrainingStatus,backend/routes/models.py,902,get_training_status,none,TrainingStatus,TRUE,Response schemas match,PASS
B-11,ui/src/api/client.ts,77,api.models.logs,GET,/api/models/{profileId}/logs?limit=N,none,TrainingLogEntry[],backend/routes/models.py,1056,get_training_logs,none,list[TrainingLogEntry],TRUE,Response schemas match,PASS
B-12,ui/src/api/client.ts,79,api.models.clearLogs,DELETE,/api/models/{profileId}/logs,none,{status: string},backend/routes/models.py,1041,clear_training_logs,none,dict {status+message},TRUE,"FE expects {status: string}; BE returns {status: 'ok', message: '...'}. FE type is subset — compatible",PASS
B-13,ui/src/api/client.ts,81,api.models.importance,GET,/api/models/{profileId}/importance,none,FeatureImportanceResponse,backend/routes/models.py,994,get_feature_importance,none,dict (no response_model),TRUE,"BE returns {model_id, model_type, feature_importance} matching FE FeatureImportanceResponse fields exactly. No Pydantic response_model but shape matches.",PASS
B-14,ui/src/api/client.ts,86,api.trades.list,GET,/api/trades?profile_id=&status=&symbol=&limit=,none,Trade[],backend/routes/trades.py,155,list_trades,none,list[TradeResponse],TRUE,All fields in Trade interface match TradeResponse schema,PASS
B-15,ui/src/api/client.ts,94,api.trades.active,GET,/api/trades/active,none,Trade[],backend/routes/trades.py,56,list_active_trades,none,list[TradeResponse],TRUE,Same Trade/TradeResponse mapping as B-14,PASS
B-16,ui/src/api/client.ts,96,api.trades.stats,GET,/api/trades/stats?profile_id=,none,TradeStats,backend/routes/trades.py,70,get_trade_stats,none,TradeStats,TRUE,All fields match between FE and BE TradeStats,PASS
B-17,ui/src/api/client.ts,98,api.trades.exportUrl,GET,/api/trades/export?profile_id=,none,CSV StreamingResponse,backend/routes/trades.py,117,export_trades,none,StreamingResponse (CSV),TRUE,Frontend builds URL only (no typed fetch). Backend returns CSV file download.,PASS
B-18,ui/src/api/client.ts,103,api.system.health,GET,/api/system/health,none,HealthCheck,backend/routes/system.py,45,health_check,none,HealthCheck,TRUE,All 3 fields match: status/timestamp/version,PASS
B-19,ui/src/api/client.ts,105,api.system.status,GET,/api/system/status,none,SystemStatus,backend/routes/system.py,58,get_system_status,none,SystemStatus,TRUE,All fields match. FE circuit_breaker_states typed as Record<string CircuitBreakerState>; BE typed as dict — structurally compatible,PASS
B-20,ui/src/api/client.ts,107,api.system.pdt,GET,/api/system/pdt,none,PDTStatus,backend/routes/system.py,207,get_pdt_status,none,PDTStatus,TRUE,All 5 fields match exactly,PASS
B-21,ui/src/api/client.ts,109,api.system.errors,GET,/api/system/errors?limit=N,none,ErrorLogEntry[],backend/routes/system.py,266,get_recent_errors,none,list[ErrorLogEntry],TRUE,All 4 fields match: timestamp/level/message/source,PASS
B-22,ui/src/api/client.ts,111,api.system.clearErrors,DELETE,/api/system/errors,none,{status: string},backend/routes/system.py,252,clear_error_logs,none,dict {status+message},TRUE,"FE expects {status: string}; BE returns {status: 'ok', message: '...'}. Compatible subset.",PASS
B-23,ui/src/api/client.ts,113,api.system.modelHealth,GET,/api/system/model-health,none,ModelHealthResponse,backend/routes/system.py,319,get_model_health,none,ModelHealthResponse,TRUE,"profiles/any_degraded/any_stale/summary all match. ModelHealthEntry fields match.",PASS
B-24,ui/src/api/client.ts,115,api.system.trainingQueue,GET,/api/system/training-queue,none,TrainingQueueStatus,backend/routes/system.py,451,get_training_queue_status,none,TrainingQueueStatus,TRUE,All 4 fields match,PASS
B-25,ui/src/api/client.ts,120,api.backtest.run,POST,/api/backtest/{profileId},BacktestRequest,BacktestResult,backend/app.py,271,run_backtest_endpoint,BacktestRequest,BacktestResult,TRUE,Request and response schemas match. initial_capital optional in FE (?) vs default 25000.0 in BE — compatible,PASS
B-26,ui/src/api/client.ts,125,api.backtest.results,GET,/api/backtest/{profileId}/results,none,BacktestResult,backend/app.py,363,get_backtest_results,none,BacktestResult,TRUE,Response schema matches,PASS
B-27,ui/src/api/client.ts,130,api.trading.status,GET,/api/trading/status,none,TradingStatusResponse,backend/routes/trading.py,407,get_trading_status,none,TradingStatusResponse,TRUE,processes/total_running/total_stopped match. TradingProcessInfo fields match.,PASS
B-28,ui/src/api/client.ts,132,api.trading.start,POST,/api/trading/start,{profile_ids: string[]},TradingStartResponse,backend/routes/trading.py,451,start_trading,TradingStartRequest,TradingStartResponse,TRUE,"FE sends {profile_ids}; BE TradingStartRequest has profile_ids: list[str]. Response: FE errors typed as Array<{profile_id: string; message: string}>; BE errors typed as list[dict] — structurally compatible but BE is loosely typed.",PASS
B-29,ui/src/api/client.ts,137,api.trading.stop,POST,/api/trading/stop,{profile_ids: string[] | null},TradingStopResponse,backend/routes/trading.py,559,stop_trading,TradingStopRequest,TradingStopResponse,TRUE,"FE sends {profile_ids} or null; BE TradingStopRequest.profile_ids Optional[list[str]]. Response: stopped list[str] + errors list[dict] — structurally compatible.",PASS
B-30,ui/src/api/client.ts,142,api.trading.restart,POST,/api/trading/restart,{profile_ids: string[]},TradingStartResponse,backend/routes/trading.py,633,restart_trading,TradingStartRequest,TradingStartResponse,TRUE,Same request/response as B-28,PASS
B-31,ui/src/api/client.ts,147,api.trading.startableProfiles,GET,/api/trading/startable-profiles,none,StartableProfile[],backend/routes/trading.py,648,get_startable_profiles,none,list[dict] (no response_model),TRUE,"BE returns dicts with id/name/preset/status/symbols/is_running matching StartableProfile interface. No Pydantic model but shape matches.",PASS
B-32,ui/src/api/client.ts,152,api.signals.list,GET,/api/signals/{profileId}?limit=N&since=,none,SignalLogEntry[],backend/routes/signals.py,92,get_signal_logs,none,list[SignalLogEntry],TRUE,"All fields match. FE step_stopped_at is number|null; BE is float|None — compatible.",PASS
B-33,ui/src/api/client.ts,157,api.signals.exportUrl,GET,/api/signals/export?profile_id=,none,CSV StreamingResponse,backend/routes/signals.py,46,export_signal_logs,none,StreamingResponse (CSV),TRUE,Frontend builds URL only (no typed fetch). Backend returns CSV file download.,PASS
