path,size_bytes,extension
.claude/settings.local.json,64,.json
.gitignore,692,<noext>
AUDIT_PACKAGE/00_EXEC_SUMMARY.md,5110,.md
AUDIT_PACKAGE/01_REPO_MANIFEST.csv,60805,.csv
AUDIT_PACKAGE/02_SYMBOL_INVENTORY.csv,1202743,.csv
AUDIT_PACKAGE/03_FILE_BY_FILE_AUDIT.md,127542,.md
AUDIT_PACKAGE/03_FILE_BY_FILE_AUDIT_FRONTEND.md,26505,.md
AUDIT_PACKAGE/03_FILE_BY_FILE_AUDIT_OTHER.md,46084,.md
AUDIT_PACKAGE/03_FILE_BY_FILE_AUDIT_PYTHON.md,25469,.md
AUDIT_PACKAGE/04_FULL_WIREMAP.md,171854,.md
AUDIT_PACKAGE/05_IMPORT_EXPORT_MATRIX.csv,101460,.csv
AUDIT_PACKAGE/06_ENDPOINT_MATRIX.csv,22387,.csv
AUDIT_PACKAGE/07_UI_CONTROL_MATRIX.csv,12707,.csv
AUDIT_PACKAGE/08_UI_VISIBLE_TEXT_INVENTORY.csv,39811,.csv
AUDIT_PACKAGE/09_DATAFLOW_TRACES.md,8322,.md
AUDIT_PACKAGE/10_MODEL_TRAINING_AUDIT.md,29964,.md
AUDIT_PACKAGE/11_MODEL_INFERENCE_AUDIT.md,4315,.md
AUDIT_PACKAGE/12_EXTERNAL_DEPENDENCY_VALIDATION.csv,10813,.csv
AUDIT_PACKAGE/12_EXTERNAL_DEPENDENCY_VALIDATION.md,545,.md
AUDIT_PACKAGE/13_LOG_FIRST_RUNTIME_ANALYSIS.md,5493,.md
AUDIT_PACKAGE/14_GATE_KILL_COUNTS.md,7917,.md
AUDIT_PACKAGE/15_NUMERICAL_PIPELINE_TRACES.md,11433,.md
AUDIT_PACKAGE/16_E2E_SCENARIO_TESTS.md,9634,.md
AUDIT_PACKAGE/17_FRONTEND_BACKEND_BINDINGS.csv,8872,.csv
AUDIT_PACKAGE/17_FRONTEND_BACKEND_BINDINGS.md,1088,.md
AUDIT_PACKAGE/18_DB_STORAGE_AND_RETRIEVAL_AUDIT.md,16093,.md
AUDIT_PACKAGE/19_CONFIG_ENV_AUDIT.md,698,.md
AUDIT_PACKAGE/19_CONFIG_ENV_STORAGE_INVENTORY.csv,18897,.csv
AUDIT_PACKAGE/20_STARTUP_SHUTDOWN_LIVE_LOOP_AUDIT.md,26850,.md
AUDIT_PACKAGE/21_BUG_LEDGER.csv,1887,.csv
AUDIT_PACKAGE/21_BUG_LEDGER.md,21347,.md
AUDIT_PACKAGE/22_FAILURE_LEDGER.csv,1808,.csv
AUDIT_PACKAGE/22_FAILURE_LEDGER.md,3821,.md
AUDIT_PACKAGE/23_REMAINING_RISKS_AND_UNKNOWNS.md,6311,.md
AUDIT_PACKAGE/24_FINAL_ACCEPTANCE_CHECKLIST.md,6864,.md
AUDIT_PACKAGE/25_MANIFEST_RECONCILIATION.csv,77830,.csv
AUDIT_PACKAGE/SELF_CRITIQUE.md,7557,.md
AUDIT_PACKAGE/artifacts/backfill_lines.py,3602,.py
AUDIT_PACKAGE/artifacts/gen_imports.py,4359,.py
AUDIT_PACKAGE/artifacts/gen_other_audit.py,4072,.py
AUDIT_PACKAGE/artifacts/gen_py_audit.py,3489,.py
AUDIT_PACKAGE/artifacts/gen_reconciliation.py,7999,.py
AUDIT_PACKAGE/artifacts/gen_wiremap.py,4224,.py
AUDIT_PACKAGE/artifacts/gen_wiremap_expanded.py,14174,.py
AUDIT_PACKAGE/artifacts/ui_debug_qs.mjs,806,.mjs
AUDIT_PACKAGE/artifacts/ui_test.mjs,55814,.mjs
AUDIT_PACKAGE/artifacts/ui_test_fix.mjs,17154,.mjs
AUDIT_PACKAGE/curl/EP01_GET_profiles.json,12247,.json
AUDIT_PACKAGE/curl/EP02_GET_profiles_id.json,7547,.json
AUDIT_PACKAGE/curl/EP03_GET_profiles_id_404.json,77,.json
AUDIT_PACKAGE/curl/EP04_POST_profiles_create.json,989,.json
AUDIT_PACKAGE/curl/EP05_PUT_profiles_update.json,988,.json
AUDIT_PACKAGE/curl/EP06_POST_profiles_activate.json,120,.json
AUDIT_PACKAGE/curl/EP07_POST_profiles_pause.json,7547,.json
AUDIT_PACKAGE/curl/EP07b_POST_profiles_reactivate.json,7547,.json
AUDIT_PACKAGE/curl/EP08_GET_models_profile.json,3612,.json
AUDIT_PACKAGE/curl/EP09_GET_models_profile_null.json,35,.json
AUDIT_PACKAGE/curl/EP10_GET_models_status.json,214,.json
AUDIT_PACKAGE/curl/EP11_GET_models_status_404.json,77,.json
AUDIT_PACKAGE/curl/EP12_GET_models_metrics.json,324,.json
AUDIT_PACKAGE/curl/EP13_GET_models_importance.json,138,.json
AUDIT_PACKAGE/curl/EP14_GET_models_logs.json,14827,.json
AUDIT_PACKAGE/curl/EP15_POST_models_train.json,335,.json
AUDIT_PACKAGE/curl/EP16_POST_models_retrain.json,147,.json
AUDIT_PACKAGE/curl/EP17_DELETE_models_logs.json,81,.json
AUDIT_PACKAGE/curl/EP18_GET_trades.json,2502,.json
AUDIT_PACKAGE/curl/EP19_GET_trades_filtered.json,1906,.json
AUDIT_PACKAGE/curl/EP20_GET_trades_active.json,33,.json
AUDIT_PACKAGE/curl/EP21_GET_trades_stats.json,284,.json
AUDIT_PACKAGE/curl/EP22_GET_trades_stats_profile.json,298,.json
AUDIT_PACKAGE/curl/EP23_GET_trades_export.csv,14191,.csv
AUDIT_PACKAGE/curl/EP24_GET_trades_id_404.json,75,.json
AUDIT_PACKAGE/curl/EP25_GET_signals_profile.json,16636,.json
AUDIT_PACKAGE/curl/EP26_GET_signals_profile_404.json,77,.json
AUDIT_PACKAGE/curl/EP27_GET_signals_export.csv,169793,.csv
AUDIT_PACKAGE/curl/EP28_GET_system_health.json,112,.json
AUDIT_PACKAGE/curl/EP29_GET_system_status.json,2719,.json
AUDIT_PACKAGE/curl/EP30_GET_system_pdt.json,125,.json
AUDIT_PACKAGE/curl/EP31_GET_system_errors.json,95454,.json
AUDIT_PACKAGE/curl/EP32_DELETE_system_errors.json,78,.json
AUDIT_PACKAGE/curl/EP33_GET_system_model_health.json,1089,.json
AUDIT_PACKAGE/curl/EP34_GET_system_training_queue.json,156,.json
AUDIT_PACKAGE/curl/EP35_GET_trading_status.json,495,.json
AUDIT_PACKAGE/curl/EP36_GET_trading_startable.json,177,.json
AUDIT_PACKAGE/curl/EP37_GET_trading_watchdog.json,133,.json
AUDIT_PACKAGE/curl/EP38_POST_trading_start.json,119,.json
AUDIT_PACKAGE/curl/EP39_POST_trading_stop.json,126,.json
AUDIT_PACKAGE/curl/EP40_POST_trading_restart.json,119,.json
AUDIT_PACKAGE/curl/EP41_POST_backtest.json,445,.json
AUDIT_PACKAGE/curl/EP42_GET_backtest_results.json,323,.json
AUDIT_PACKAGE/curl/EP43_GET_backtest_results_404.json,310,.json
AUDIT_PACKAGE/curl/EP44_GET_trades_id.json,628,.json
AUDIT_PACKAGE/curl/EP45_DELETE_profiles.json,31,.json
AUDIT_PACKAGE/curl/EP46_DELETE_profiles_404.json,77,.json
AUDIT_PACKAGE/db/gate_kill_queries.txt,1422,.txt
AUDIT_PACKAGE/db/orphan_check.txt,1469,.txt
AUDIT_PACKAGE/db/schema.sql,2688,.sql
AUDIT_PACKAGE/db/system_state.txt,2148,.txt
AUDIT_PACKAGE/db/table_models.txt,16948,.txt
AUDIT_PACKAGE/db/table_profiles.txt,2588,.txt
AUDIT_PACKAGE/db/table_signal_logs.txt,1841,.txt
AUDIT_PACKAGE/db/table_sqlite_sequence.txt,225,.txt
AUDIT_PACKAGE/db/table_system_state.txt,1871,.txt
AUDIT_PACKAGE/db/table_trades.txt,15660,.txt
AUDIT_PACKAGE/db/table_training_logs.txt,1185,.txt
AUDIT_PACKAGE/db/table_training_queue.txt,6756,.txt
AUDIT_PACKAGE/json/ui_test_results.json,46523,.json
AUDIT_PACKAGE/logs/backtest_settings.json,2493,.json
AUDIT_PACKAGE/logs/backtest_tearsheet.csv,1431,.csv
AUDIT_PACKAGE/logs/backtest_trades.csv,10846,.csv
AUDIT_PACKAGE/logs/training_logs_dump.txt,59823,.txt
AUDIT_PACKAGE/network/api_requests.json,16515,.json
AUDIT_PACKAGE/screenshots/dashboard_activate_btn.png,88281,.png
AUDIT_PACKAGE/screenshots/dashboard_after_refresh.png,88281,.png
AUDIT_PACKAGE/screenshots/dashboard_clear_error.png,88281,.png
AUDIT_PACKAGE/screenshots/dashboard_detail_btn.png,88281,.png
AUDIT_PACKAGE/screenshots/dashboard_loaded.png,88281,.png
AUDIT_PACKAGE/screenshots/dashboard_pause_btn.png,88281,.png
AUDIT_PACKAGE/screenshots/dashboard_profile_click.png,88281,.png
AUDIT_PACKAGE/screenshots/dashboard_profile_click_fix.png,88288,.png
AUDIT_PACKAGE/screenshots/nav_dashboard.png,88303,.png
AUDIT_PACKAGE/screenshots/nav_profiles.png,45177,.png
AUDIT_PACKAGE/screenshots/nav_signal_logs.png,140246,.png
AUDIT_PACKAGE/screenshots/nav_system_status.png,101666,.png
AUDIT_PACKAGE/screenshots/nav_trade_history.png,97630,.png
AUDIT_PACKAGE/screenshots/page_not_found_404.png,27529,.png
AUDIT_PACKAGE/screenshots/profile_detail_back_link.png,98372,.png
AUDIT_PACKAGE/screenshots/profile_detail_backtest_fix.png,81619,.png
AUDIT_PACKAGE/screenshots/profile_detail_edit_fix.png,110042,.png
AUDIT_PACKAGE/screenshots/profile_detail_features_fix.png,95537,.png
AUDIT_PACKAGE/screenshots/profile_detail_loaded_fix.png,98372,.png
AUDIT_PACKAGE/screenshots/profile_detail_logs_fix.png,82605,.png
AUDIT_PACKAGE/screenshots/profile_detail_train_fix.png,98391,.png
AUDIT_PACKAGE/screenshots/profile_form_advanced_open.png,108965,.png
AUDIT_PACKAGE/screenshots/profile_form_name_input.png,85371,.png
AUDIT_PACKAGE/screenshots/profile_form_opened_fix.png,85155,.png
AUDIT_PACKAGE/screenshots/profile_form_preset_general.png,85521,.png
AUDIT_PACKAGE/screenshots/profile_form_preset_general_fix.png,85140,.png
AUDIT_PACKAGE/screenshots/profile_form_preset_scalp.png,85221,.png
AUDIT_PACKAGE/screenshots/profile_form_preset_scalp_fix.png,89346,.png
AUDIT_PACKAGE/screenshots/profile_form_preset_swing.png,85392,.png
AUDIT_PACKAGE/screenshots/profile_form_preset_swing_fix.png,85155,.png
AUDIT_PACKAGE/screenshots/profile_not_found.png,27058,.png
AUDIT_PACKAGE/screenshots/profile_not_found_fix.png,27058,.png
AUDIT_PACKAGE/screenshots/profiles_delete_dialog.png,66923,.png
AUDIT_PACKAGE/screenshots/profiles_edit_modal.png,68145,.png
AUDIT_PACKAGE/screenshots/profiles_loaded.png,45274,.png
AUDIT_PACKAGE/screenshots/profiles_new_profile_modal.png,85155,.png
AUDIT_PACKAGE/screenshots/profiles_row_activate.png,45176,.png
AUDIT_PACKAGE/screenshots/profiles_row_delete.png,45176,.png
AUDIT_PACKAGE/screenshots/profiles_row_detail.png,45176,.png
AUDIT_PACKAGE/screenshots/profiles_row_edit.png,45176,.png
AUDIT_PACKAGE/screenshots/profiles_row_pause.png,45176,.png
AUDIT_PACKAGE/screenshots/profiles_row_train.png,45176,.png
AUDIT_PACKAGE/screenshots/signal_logs_loaded.png,140361,.png
AUDIT_PACKAGE/screenshots/signal_logs_sorted.png,135280,.png
AUDIT_PACKAGE/screenshots/system_after_refresh.png,101928,.png
AUDIT_PACKAGE/screenshots/system_final.png,103742,.png
AUDIT_PACKAGE/screenshots/system_loaded.png,102203,.png
AUDIT_PACKAGE/screenshots/system_quick_start.png,103710,.png
AUDIT_PACKAGE/screenshots/system_quick_start_cancel_fix.png,103233,.png
AUDIT_PACKAGE/screenshots/trades_filters.png,98732,.png
AUDIT_PACKAGE/screenshots/trades_loaded.png,97897,.png
AUDIT_PACKAGE/screenshots/trades_sorted.png,100967,.png
CLAUDE.md,302,.md
docs/AUDIT_FAILURES_AND_RULES.md,17718,.md
docs/CLAUDE_ZERO_OMISSION_TERMINATION_GRADE_AUDIT_DIRECTIVE.md,13087,.md
docs/FORMAL_REJECTION_MEMO_AUDIT_PACKAGE.md,10534,.md
docs/PROJECT_ARCHITECTURE.md,65867,.md
docs/UPDATED_PROMPT.md,24440,.md
docs/signal-logs-2026-03-09 (1).csv,24132,.csv
docs/signal-logs-2026-03-09.csv,128938,.csv
options-bot/.env.example,1475,.example
options-bot/backend/__init__.py,0,.py
options-bot/backend/app.py,16309,.py
options-bot/backend/database.py,6879,.py
options-bot/backend/db_log_handler.py,3055,.py
options-bot/backend/routes/__init__.py,0,.py
options-bot/backend/routes/models.py,41352,.py
options-bot/backend/routes/profiles.py,17066,.py
options-bot/backend/routes/signals.py,4255,.py
options-bot/backend/routes/system.py,17581,.py
options-bot/backend/routes/trades.py,7363,.py
options-bot/backend/routes/trading.py,24186,.py
options-bot/backend/schemas.py,9270,.py
options-bot/config.py,12053,.py
options-bot/data/__init__.py,0,.py
options-bot/data/alpaca_provider.py,10010,.py
options-bot/data/earnings_calendar.py,4776,.py
options-bot/data/greeks_calculator.py,8816,.py
options-bot/data/options_data_fetcher.py,22467,.py
options-bot/data/provider.py,5000,.py
options-bot/data/theta_provider.py,18107,.py
options-bot/data/validator.py,16927,.py
options-bot/data/vix_provider.py,8231,.py
options-bot/db/.gitkeep,0,<noext>
options-bot/docs/AUDIT_FINDINGS.md,18194,.md
options-bot/docs/DEPLOYMENT.md,6182,.md
options-bot/docs/OPERATIONS.md,3930,.md
options-bot/logs/.gitkeep,0,<noext>
options-bot/main.py,21257,.py
options-bot/ml/__init__.py,0,.py
options-bot/ml/ensemble_predictor.py,35686,.py
options-bot/ml/ev_filter.py,17761,.py
options-bot/ml/feature_engineering/__init__.py,0,.py
options-bot/ml/feature_engineering/base_features.py,26971,.py
options-bot/ml/feature_engineering/general_features.py,3157,.py
options-bot/ml/feature_engineering/scalp_features.py,8512,.py
options-bot/ml/feature_engineering/swing_features.py,3768,.py
options-bot/ml/feedback_queue.py,4102,.py
options-bot/ml/incremental_trainer.py,27985,.py
options-bot/ml/lgbm_predictor.py,3562,.py
options-bot/ml/lgbm_trainer.py,14936,.py
options-bot/ml/liquidity_filter.py,7793,.py
options-bot/ml/predictor.py,1399,.py
options-bot/ml/regime_adjuster.py,2942,.py
options-bot/ml/scalp_predictor.py,8522,.py
options-bot/ml/scalp_trainer.py,35886,.py
options-bot/ml/swing_classifier_predictor.py,6256,.py
options-bot/ml/swing_classifier_trainer.py,35995,.py
options-bot/ml/tft_predictor.py,20143,.py
options-bot/ml/tft_trainer.py,44954,.py
options-bot/ml/trainer.py,31031,.py
options-bot/ml/xgboost_predictor.py,3277,.py
options-bot/models/.gitkeep,0,<noext>
options-bot/models/ac3ff5ea-f8a8-4046-af54-d52efe8ec7f4_scalp_SPY_0e9fd3c0.joblib,3414424,.joblib
options-bot/models/ac3ff5ea-f8a8-4046-af54-d52efe8ec7f4_scalp_SPY_171859fb.joblib,634240,.joblib
options-bot/models/ad48bf20-1913-4f40-b028-0580c9f48168_swing_cls_TSLA_ce4bfaf5.joblib,1033928,.joblib
options-bot/requirements.txt,552,.txt
options-bot/risk/__init__.py,0,.py
options-bot/risk/risk_manager.py,24488,.py
options-bot/scripts/audit_verify.py,13705,.py
options-bot/scripts/backtest.py,10183,.py
options-bot/scripts/diagnose_strategy.py,3263,.py
options-bot/scripts/startup_check.py,12895,.py
options-bot/scripts/test_features.py,8046,.py
options-bot/scripts/test_providers.py,5664,.py
options-bot/scripts/train_model.py,3750,.py
options-bot/scripts/validate_data.py,27796,.py
options-bot/scripts/validate_model.py,9095,.py
options-bot/scripts/walk_forward_backtest.py,11080,.py
options-bot/start_bot.bat,213,.bat
options-bot/strategies/__init__.py,0,.py
options-bot/strategies/base_strategy.py,106773,.py
options-bot/strategies/general_strategy.py,855,.py
options-bot/strategies/scalp_strategy.py,1302,.py
options-bot/strategies/swing_strategy.py,715,.py
options-bot/ui/.gitignore,253,<noext>
options-bot/ui/README.md,2555,.md
options-bot/ui/eslint.config.js,616,.js
options-bot/ui/index.html,592,.html
options-bot/ui/package-lock.json,162069,.json
options-bot/ui/package.json,898,.json
options-bot/ui/postcss.config.js,80,.js
options-bot/ui/src/App.tsx,1805,.tsx
options-bot/ui/src/api/client.ts,5935,.ts
options-bot/ui/src/components/ConnIndicator.tsx,505,.tsx
options-bot/ui/src/components/Layout.tsx,3146,.tsx
options-bot/ui/src/components/PageHeader.tsx,506,.tsx
options-bot/ui/src/components/PnlCell.tsx,443,.tsx
options-bot/ui/src/components/ProfileForm.tsx,15812,.tsx
options-bot/ui/src/components/Spinner.tsx,267,.tsx
options-bot/ui/src/components/StatusBadge.tsx,923,.tsx
options-bot/ui/src/index.css,865,.css
options-bot/ui/src/main.tsx,237,.tsx
options-bot/ui/src/pages/Dashboard.tsx,26918,.tsx
options-bot/ui/src/pages/ProfileDetail.tsx,55517,.tsx
options-bot/ui/src/pages/Profiles.tsx,14550,.tsx
options-bot/ui/src/pages/SignalLogs.tsx,21670,.tsx
options-bot/ui/src/pages/System.tsx,35006,.tsx
options-bot/ui/src/pages/Trades.tsx,20532,.tsx
options-bot/ui/src/types/api.ts,6724,.ts
options-bot/ui/tailwind.config.js,951,.js
options-bot/ui/tsconfig.app.json,732,.json
options-bot/ui/tsconfig.json,119,.json
options-bot/ui/tsconfig.node.json,653,.json
options-bot/ui/vite.config.ts,283,.ts
options-bot/utils/__init__.py,0,.py
options-bot/utils/alerter.py,3596,.py
options-bot/utils/circuit_breaker.py,5142,.py
